Date,Inflation_Rate,CPI_MoM,WPI_MoM,SPI_MoM,CPI_YoY,WPI_YoY,SPI_YoY
2008-07-31,nan,nan,nan,nan,nan,nan,nan
2008-08-31,nan,1.753,1.904,2.888,nan,nan,nan
2008-09-30,nan,0.796,0.488,0.372,nan,nan,nan
2008-10-31,nan,1.389,-1.078,0.871,nan,nan,nan
2008-11-30,nan,-0.317,-3.236,0.882,nan,nan,nan
2008-12-31,nan,-0.24,-0.318,-1.593,nan,nan,nan
2009-01-31,nan,0.241,-0.043,-1.76,nan,nan,nan
2009-02-28,nan,1.374,0.949,1.486,nan,nan,nan
2009-03-31,nan,0.364,0.444,0.981,nan,nan,nan
2009-04-30,nan,1.004,1.685,0.471,nan,nan,nan
2009-05-31,nan,-0.067,1.314,0.711,nan,nan,nan
2009-06-30,nan,0.87,1.231,1.314,nan,nan,nan
2009-07-31,8.999,1.509,1.754,2.9,8.999,5.09,9.829
2009-08-31,9.062,1.813,2.47,1.749,9.062,5.673,8.614
2009-09-30,8.383,0.168,0.814,0.958,8.383,6.015,9.247
2009-10-31,7.541,0.601,0.931,0.526,7.541,8.169,8.874
2009-11-30,9.308,1.321,1.83,1.661,9.308,13.833,9.714
2009-12-31,8.771,-0.731,0.181,-0.112,8.771,14.403,11.366
2010-01-31,11.317,2.588,3.257,3.698,11.317,18.179,17.554
2010-02-28,10.224,0.378,0.942,0.726,10.224,18.171,16.673
2010-03-31,11.191,1.245,1.512,1.311,11.191,19.426,17.055
2010-04-30,12.099,1.829,1.952,1.136,12.099,19.741,17.829
2010-05-31,12.324,0.134,1.146,0.699,12.324,19.542,17.815
2010-06-30,11.762,0.365,0.166,0.241,11.762,18.285,16.567
2010-07-31,12.38,2.069,1.662,2.845,12.38,18.178,16.505
2010-08-31,12.793,2.187,1.907,2.193,12.793,17.529,17.013
2010-09-30,14.893,2.034,1.698,3.581,14.893,18.559,20.054
2010-10-31,15.33,0.983,1.742,1.243,15.33,19.511,20.909
2010-11-30,14.957,0.994,2.535,2.796,14.957,20.338,22.259
2010-12-31,15.455,-0.301,1.971,-0.621,15.455,22.488,21.636
2011-01-31,13.908,1.213,1.908,0.257,13.908,20.888,17.599
2011-02-28,12.849,-0.555,1.963,-1.177,12.849,22.111,15.378
2011-03-31,13.025,1.403,3.305,1.103,13.025,24.268,15.14
2011-04-30,12.545,1.397,2.448,0.617,12.545,24.872,14.549
2011-05-31,12.647,0.225,-0.957,0.082,12.647,22.276,13.847
2011-06-30,13.313,0.958,0.571,0.069,13.313,22.77,13.652
2011-07-31,12.426,1.27,-0.405,2,12.426,20.274,12.719
2011-08-31,11.555,1.396,0.553,1.407,11.555,18.676,11.852
2011-09-30,10.461,1.033,0.247,0.667,10.461,16.983,8.705
2011-10-31,10.966,1.445,0.369,0.817,10.966,15.405,8.248
2011-11-30,10.189,0.286,-0.53,0.612,10.189,11.956,5.949
2011-12-31,9.746,-0.701,-1.334,-1.403,9.746,8.327,5.115
2012-01-31,10.097,1.536,2.261,1.834,10.097,8.703,6.768
2012-02-29,11.045,0.301,0.556,0.213,11.045,7.203,8.27
2012-03-31,10.792,1.171,0.669,1.209,10.792,4.466,8.385
2012-04-30,11.266,1.831,1.8,1.792,11.266,3.806,9.651
2012-05-31,12.291,1.149,2.146,0.462,12.291,7.058,10.067
2012-06-30,11.265,0.035,-0.048,1.763,11.265,6.4,11.931
2012-07-31,9.598,-0.247,0.359,-2.211,9.598,7.215,7.31
2012-08-31,9.058,0.896,1.021,1.353,9.058,7.714,7.253
2012-09-30,8.795,0.789,0.349,0.933,8.795,7.824,7.536
2012-10-31,7.656,0.383,0.114,-0.473,7.656,7.55,6.16
2012-11-30,6.927,-0.393,-0.373,0.016,6.927,7.719,5.531
2012-12-31,7.932,0.232,0.427,0.32,7.932,9.641,7.375
2013-01-31,8.07,1.666,1.249,1.564,8.07,8.556,7.091
2013-02-28,7.383,-0.336,0.343,-0.052,7.383,8.326,6.807
2013-03-31,6.57,0.405,0.26,0.639,6.57,7.887,6.206
2013-04-30,5.798,1.092,0.773,0.005,5.798,6.799,4.342
2013-05-31,5.132,0.512,-0.434,-0.031,5.132,4.101,3.83
2013-06-30,5.853,0.722,1.004,2.495,5.853,5.196,4.576
2013-07-31,8.262,2.023,1.647,2.058,8.262,6.546,9.142
2013-08-31,8.545,1.16,2.647,1.24,8.545,8.261,9.02
2013-09-30,7.388,-0.285,0.712,-0.118,7.388,8.653,7.885
2013-10-31,9.081,1.966,1.132,2.285,9.081,9.757,10.874
2013-11-30,10.898,1.266,0.246,3.404,10.898,10.439,14.63
2013-12-31,9.177,-1.323,-0.994,-1.853,9.177,8.877,12.147
2014-01-31,7.911,0.488,0.533,-0.849,7.911,8.107,9.482
2014-02-28,7.932,-0.316,-0.137,-0.215,7.932,7.59,9.303
2014-03-31,8.531,0.963,0.341,1.698,8.531,7.677,10.453
2014-04-30,9.182,1.698,0.104,-0.141,9.182,6.961,10.291
2014-05-31,8.34,-0.263,-0.08,-0.935,8.34,7.342,9.294
2014-06-30,8.225,0.615,1.365,1.239,8.225,7.726,7.954
2014-07-31,7.882,1.7,0.541,1.761,7.882,6.553,7.639
2014-08-31,6.995,0.328,-0.477,0.435,6.995,3.31,6.783
2014-09-30,7.679,0.352,0.154,-0.009,7.679,2.737,6.9
2014-10-31,5.82,0.206,-0.312,-0.18,5.82,1.271,4.324
2014-11-30,3.964,-0.51,-0.994,-1.025,3.964,0.019,-0.144
2014-12-31,4.298,-1.006,-1.889,-1.254,4.298,-0.885,0.465
2015-01-31,3.877,0.081,-1.028,-0.883,3.877,-2.424,0.431
2015-02-28,3.243,-0.924,-1.092,-1.386,3.243,-3.356,-0.748
2015-03-31,2.489,0.225,0.015,0.034,2.489,-3.671,-2.372
2015-04-30,2.113,1.324,0.863,0.662,2.113,-2.94,-1.587
2015-05-31,3.157,0.757,1.104,1.468,3.157,-1.79,0.801
2015-06-30,3.158,0.616,1.178,1.329,3.158,-1.971,0.89
2015-07-31,1.949,0.508,-0.376,0.392,1.949,-2.864,-0.467
2015-08-31,1.787,0.168,-0.553,-0.372,1.787,-2.939,-1.267
2015-09-30,1.324,-0.104,-0.393,0.42,1.324,-3.469,-0.843
2015-10-31,1.612,0.49,0.525,0.832,1.612,-2.659,0.162
2015-11-30,2.732,0.586,0.014,1.083,2.732,-1.668,2.294
2015-12-31,3.186,-0.568,-0.647,-0.351,3.186,-0.423,3.23
2016-01-31,3.321,0.212,-0.53,-0.517,3.321,0.078,3.611
2016-02-29,4.023,-0.251,-0.591,-0.8,4.023,0.584,4.227
2016-03-31,3.942,0.148,-0.405,-0.278,3.942,0.162,3.902
2016-04-30,4.173,1.55,1.298,0.353,4.173,0.593,3.584
2016-05-31,3.17,-0.213,0.551,-0.713,3.17,0.043,1.357
2016-06-30,3.191,0.636,1.38,1.04,3.191,0.242,1.069
2016-07-31,3.17,3.17,3.3,-1.19,3.17,3.3,-1.19
2016-08-31,2.8,-0.36,0.06,-0.39,2.8,3.36,-1.58
2016-09-30,3.23,0.42,-0.4,0.28,3.23,2.95,-1.3
2016-10-31,4.19,0.93,-0.09,0.74,4.19,2.86,-0.57
2016-11-30,4.69,0.47,0.54,0.52,4.69,3.42,-0.05
2016-12-31,4.08,-0.58,0.2,-0.67,4.08,3.63,-0.72
2017-01-31,4.53,0.43,0.83,-0.63,4.53,4.49,-1.35
2017-02-28,5.04,0.48,0.81,0.92,5.04,5.34,-0.44
2017-03-31,6.14,1.05,0.42,2.39,6.14,5.78,1.94
2017-04-30,6.91,0.72,0.43,-0.35,6.91,6.24,1.58
2017-05-31,6.36,-0.52,-0.15,-0.49,6.36,6.08,1.08
2017-06-30,6.54,0.17,-0.08,-0.04,6.54,5.99,1.04
2017-07-31,3.86,0.57,-0.7,-0.11,3.86,1.89,2.15
2017-08-31,4.39,0.15,0.19,0.57,4.39,2.02,3.14
2017-09-30,4.66,0.69,0.28,1.34,4.66,2.71,4.22
2017-10-31,4.83,1.09,0.88,0.92,4.83,3.7,4.42
2017-11-30,5.03,0.66,1.05,0.65,5.03,4.23,4.54
2017-12-31,5.61,-0.03,0.49,0.18,5.61,4.53,5.44
2018-01-31,5.24,0.08,2.6,-0.82,5.24,6.36,5.24
2018-02-28,4.46,-0.26,0.41,-0.64,4.46,5.94,3.62
2018-03-31,3.59,0.22,-0.08,-0.39,3.59,5.42,0.8
2018-04-30,3.96,1.08,1.28,1.23,3.96,6.31,2.4
2018-05-31,4.98,0.46,2.02,0.99,4.98,8.62,3.93
2018-06-30,5.67,0.83,2.46,1.71,5.67,11.38,5.75
2018-07-31,6.66,1.51,3.69,1.26,6.66,16.3,7.2
2018-08-31,6.17,-0.31,0.55,-0.72,6.17,16.72,5.82
2018-09-30,5.42,-0.03,-1.51,-0.43,5.42,14.64,3.98
2018-10-31,6.5,2.12,4.4,3.34,6.5,18.64,6.46
2018-11-30,5.66,-0.12,1.04,-0.01,5.66,18.62,5.77
2018-12-31,5.37,-0.31,-1.34,-0.21,5.37,16.46,5.36
2019-01-31,5.55,0.26,-0.82,-0.16,5.55,12.58,6.06
2019-02-28,6.75,0.86,1.62,2.04,6.75,13.93,8.92
2019-03-31,8.64,2,2.23,2.33,8.64,16.56,11.89
2019-04-30,8.27,0.73,2.02,0.7,8.27,17.41,11.31
2019-05-31,8.42,0.6,1.22,0.7,8.42,16.49,10.99
2019-06-30,8.04,0.48,0.25,0.78,8.04,13.98,9.97
2019-07-31,8.38,1.83,3.05,2.8,8.38,13.28,11.64
2019-08-31,10.49,1.64,1.25,2.53,10.49,14.06,15.3
2019-09-30,11.38,0.77,0.07,1.51,11.38,15.9,17.54
2019-10-31,11.04,1.81,2.03,2.21,11.04,13.27,16.26
2019-11-30,12.67,1.35,-0.82,2.74,12.67,11.19,19.45
2019-12-31,12.63,-0.34,-0.3,-1.26,12.63,12.37,18.2
2020-01-31,14.56,1.98,1.83,0.96,14.56,15.36,19.53
2020-02-29,12.4,-1.04,-0.8,-0.88,12.4,12.61,16.1
2020-03-31,10.24,0.04,-0.88,-1.13,10.24,9.19,12.18
2020-04-30,8.52,-0.84,-1.97,-2.6,8.52,4.92,8.51
2020-05-31,8.23,0.32,-2.08,1.7,8.23,1.5,9.58
2020-06-30,8.59,0.82,-0.32,0.55,8.59,0.93,9.33
2020-07-31,9.3,2.5,5.41,3.92,9.3,3.23,10.52
2020-08-31,8.21,0.63,1.27,0.8,8.21,3.26,8.66
2020-09-30,9.03,1.53,1.05,1.84,9.03,4.26,9
2020-10-31,8.91,1.7,2.88,2.85,8.91,5.13,9.68
2020-11-30,8.35,0.82,-0.94,1.15,8.35,5,7.98
2020-12-31,7.98,-0.68,0.34,-1.32,7.98,5.67,7.92
2021-01-31,5.7,-0.2,2.5,-0.4,5.7,6.4,6.4
2021-02-28,8.7,1.8,2.2,2.5,8.7,9.5,10.1
2021-03-31,9.1,0.4,3.7,2.7,9.1,14.6,14.3
2021-04-30,11.1,1,-0.4,0.4,11.1,16.6,17.8
2021-05-31,10.862,0.103,0.302,0.905,10.862,19.386,16.907
2021-06-30,9.656,-0.289,0.91,-0.77,9.656,20.854,15.374
2021-07-31,8.406,1.34,2.279,1.43,8.406,17.27,12.607
2021-08-31,8.354,0.579,1.168,0.858,8.354,17.15,12.67
2021-09-30,8.979,2.12,3.168,2.849,8.979,19.607,13.792
2021-10-31,9.2,1.9,4.2,3.1,9.2,21.2,14
2021-11-30,11.5,3,3.8,4.1,11.5,27,17.4
2021-12-31,12.282,-0.013,-0.237,0.293,12.282,26.237,19.271
2022-01-31,12.962,0.392,0.645,-0.226,12.962,23.956,19.51
2022-02-28,12.244,1.153,1.913,1.308,12.244,23.614,18.131
2022-03-31,12.7,0.8,3.9,0.6,12.7,23.8,15.8
2022-04-30,13.378,1.618,3.157,1.061,13.378,28.147,16.498
2022-05-31,13.8,0.4,1.4,0.6,13.8,29.6,16.1
2022-06-30,21.3,6.3,8.2,8.1,21.3,38.9,26.5
2022-07-31,24.9,4.4,2,7.7,24.9,38.5,34.3
2022-08-31,27.3,2.5,3.1,5.6,27.3,41.2,40.6
2022-09-30,23.2,-1.2,1.4,-0.6,23.2,38.87,35.9
2022-10-31,26.6,4.7,-0.5,-2.4,26.6,32.6,28.6
2022-11-30,23.8,0.8,-0.02,4.9,23.8,27.7,29.7
2022-12-31,24.5,0.5,-0.7,0.3,24.5,27.11,29.7
2023-01-31,27.6,2.9,1.8,1.3,27.6,28.5,31.7
2023-02-28,31.5,4.3,8.2,5.4,31.5,36.5,37.1
2023-03-31,35.4,3.7,4.7,5.7,35.4,37.5,44
2023-04-30,36.4,2.4,0.1,2.4,36.4,33.4,45.9
2023-05-31,38,1.6,1,1.3,38,32.8,47
2023-06-30,29.4,-0.3,-0.3,0.04,29.4,22.4,36
2023-07-31,28.3,3.5,2.5,2.1,28.3,23.1,29
2023-08-31,27.4,1.7,4.2,5.5,27.4,24.3,28.7
2023-09-30,31.4,2,3.1,2.2,31.4,26.4,32.4
2023-10-31,26.8,1,-1.9,-0.3,26.8,24.6,35.4
2023-11-30,29.2,2.7,1.4,4.4,29.2,26.4,34.7
2023-12-31,29.7,0.8,0,6.4,29.7,27.3,43
2024-01-31,28.3,1.8,1.5,2,28.3,27,43.9
2024-02-29,23.1,0,1.1,-0.1,23.1,18.7,36.3
2024-03-31,20.7,1.7,1.3,2.3,20.7,14.8,31.9
2024-04-30,17.3,-0.4,-0.7,0,17.3,13.9,28.8
2024-05-31,11.8,-3.2,-2.5,-4,11.8,9.9,22
2024-06-30,12.6,0.5,0.4,0.9,12.6,10.6,23
2024-07-31,11.1,2.1,2.3,2.1,11.1,10.4,23
2024-08-31,9.6,0.4,0.3,0.4,9.6,6.3,17.1
2024-09-30,6.9,-0.5,-1.1,-0.9,6.9,1.9,13.5
2024-10-31,7.2,1.2,0,0.2,7.2,3.9,14.1
2024-11-30,4.9,0.5,-0.1,1,4.9,2.3,10.3
2024-12-31,4.1,0.1,-0.4,0.5,4.1,1.9,4.2
2025-01-31,2.4,0.2,0.2,-0.7,2.4,0.6,1.5
2025-02-28,1.5,-0.8,-0.2,-1,1.5,-0.7,0.7
2025-03-31,0.7,0.9,0.3,0.3,0.7,-1.6,-1.3
2025-04-30,0.3,-0.8,-1.3,-1.9,0.3,-2.2,-3.2
2025-05-31,3.5,-0.2,0,-0.8,3.5,0.4,0.1
2025-06-30,3.2,0.2,0.6,-0.5,3.2,0.6,-1.2
2025-07-31,4.1,2.9,1.2,3.2,4.1,-0.5,-0.1
2025-08-31,3,-0.6,-0.2,3,3,-1,2.4
2025-09-30,5.6,2,0.5,1.1,5.6,0.6,4.5
2025-10-31,6.2,1.8,0.5,0.3,6.2,1.1,4.5
2025-11-30,6.1,0.4,-0.2,0.5,6.1,1.1,4